ID_MSMLS	PRIMARY_NAME	SMILES	MOLECULAR_FORMULA	KEGG ID_CSID	CAS ID	HMDB/YMDB ID	NEUTRAL MONOISOTOPIC MOLECULAR MASS	METLIN_ID	PC_CID	PC_SID	ChEBI	id_Mzmine	score_cosine	precursor_mz	rt	intensity	GNPS_Compound_Name	LibraryName	MQScore	MZErrorPPM	SharedPeaks	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct.1	Precursor_MZ.1	Library_Class	IonMode	LibraryQualityString	Compound_Name-Topk=10	NumberHits
338	HISTIDINE	N[C@@H](CC1=CNC=N1)C(O)=O	C6H9N3O2	C00135	71-00-1	HMDB0000177	155.069476547	21	6274	24895816	15971	9667	1	156.07695	0.89719	44475724	Spectral Match to L-Histidine from METLIN	GNPS-NIST14-MATCHES.mgf	0.995234	0.195529	5	ESI	qTof	Isolated	Data from Pieter Dorrestein	Data deposited by daniel	M+H	156.077	3	Positive	Bronze	Spectral Match to L-Histidine from METLIN	10
339	ALLOTHREONINE	C[C@H](O)[C@H](N)C(O)=O	C4H9NO3	C05519	24830-94-2	HMDB0004041	119.058243159	3245	99289	24852626	28718	10975	1	120.06596	0.93658	30570708	Massbank:PB000405 Threonine|2-amino-3-hydroxybutanoic acid	MASSBANK.mgf	0.94164	0	4	ESI	LC-ESI-QTOF	Isolated	Putative Massbank Match	Massbank	[M+H]+	120.066	3	Positive	Bronze	Massbank:PB000405 Threonine|2-amino-3-hydroxybutanoic acid	10
341	SPERMIDINE	NCCCCNCCCN	C7H19N3	C00315	124-20-9	HMDB0001257	145.157897623	254	1102	24899529	16610	10354	0.908	146.16531	0.89931	33810136	Spermidine CollisionEnergy:205060	BERKELEY-LAB.mgf	0.962773	1.8791	5	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+H	146.165	3	Positive	Bronze	Spermidine CollisionEnergy:205060	10
345	ANSERINE	CN1C=NC=C1C[C@H](NC(=O)CCN)C(O)=O (ANSERINE)	C10H16N4O3	C01262	584-85-0	HMDB0000194 (ANSERINE)	240.122240398	4195	112072	24890509	18323	11346	1	241.12979	0.88719	9735444	Anserine - 40.0 eV	BIRMINGHAM-UHPLC-MS-POS.mgf	0.965487	0.696084	12	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	241.13	1	Positive	Gold	Anserine - 40.0 eV	10
347	5-HYDROXYLYSINE	NC[C@H](O)CC[C@H](N)C(O)=O (5-HYDROXYLYSINE)	C6H14N2O3	C16741	1190-94-9	HMDB0000450 (5-HYDROXYLYSINE)	162.100442324	71304	3032849	24895397	18040	11431	0.94	163.10803	1.01063	25015626	5-HYDROXYLYSINE	MONA.mgf	0.893253	0.280651	6	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037231	M+H	163.108	3	positive	Bronze	5-HYDROXYLYSINE	10
349	OPHTHALMATE	CC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O	C11H19N3O6	CSID5381695	495-27-2	HMDB0005765	289.127385355	58300	7018721	223736346	84057	12191	1	290.13449	1.78453	25687890	OPHTHALMATE	GNPS-MSMLS.mgf	0.961754	1.9985	11	ESI	Orbitrap	Commercial	Dorrestein	Kelly Weldon	M+H	290.135	1	Positive	Gold	OPHTHALMATE	10
351	TRIGONELLINE	C[N+]1=CC(=CC=C1)C([O-])=O (TRIGONELLINE)	C7H7NO2	C01004	535-83-1	HMDB0000875 (TRIGONELLINE)	137.047678473	273	5570	329826825	18123	13077	0.993	138.05545	1.17619	68981336	TRIGONELLINE - 20.0 eV	GNPS-LIBRARY.mgf	0.971236	2.54212	5	ESI	Orbitrap	Isolated	Madeleine Ernst	Anna Abrahamsson	M+H	138.055	1	Positive	Gold	TRIGONELLINE - 20.0 eV	10
366	GALACTOSAMINE	N[C@H]1C(O)O[C@H](CO)[C@H](O)[C@@H]1O (GALACTOSAMINE)	C6H13NO5	C02262	7535-00-4	-	179.079374	63181	24154	24894912	60312	14457	1	180.08687	0.87742	14023682	GALACTOSAMINE	MONA.mgf	0.919826	0.593111	7	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037245	M+H	180.087	3	positive	Bronze	GALACTOSAMINE	10
371	N-ACETYLSERINE	CC(=O)N[C@@H](CO)C(O)=O	C5H9NO4	CSID312807	16354-58-8	HMDB0002931	147.053157781	308	65249	24890681	45441	15528	1	148.06058	1.36147	10613979	N-ACETYL-DL-SERINE - 40.0 eV	GNPS-LIBRARY.mgf	0.890751	4.22538	3	ESI	Orbitrap	Isolated	Madeleine Ernst	Anna Abrahamsson	M+H	148.06	1	Positive	Gold	N-ACETYL-DL-SERINE - 40.0 eV	10
386	SORBATE	C\C=C\C=C\C(O)=O (SORBATE)	C6H8O2	CSID558605	110-44-1	HMDB0029581 (SORBATE)	112.0524295	NA	643460	57653049	38358	27	0.974	113.06008	9.09441	2707212.2	sorbic acid CollisionEnergy:205060	BERKELEY-LAB.mgf	0.840013	0.472367	4	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+H	113.06	3	Positive	Bronze	sorbic acid CollisionEnergy:205060	3
